epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,2208.39,0.50166,0.28357,0.88294,0.924,0.8681,0.90412,0.61072,1.22945,0.70923,1.31717,8.70577e-05,8.70577e-05,8.70577e-05
166,2221.87,0.51342,0.2777,0.88774,0.87622,0.91769,0.91036,0.59748,1.2943,0.72298,1.36899,8.29431e-05,8.29431e-05,8.29431e-05
167,2235.47,0.50164,0.27541,0.87137,0.92095,0.86993,0.91232,0.6081,1.2553,0.68065,1.32925,7.89327e-05,7.89327e-05,7.89327e-05
168,2249.02,0.5037,0.27566,0.88848,0.92091,0.86317,0.91149,0.62728,1.1975,0.66151,1.26564,7.50274e-05,7.50274e-05,7.50274e-05
169,2262.56,0.47475,0.2719,0.87282,0.92452,0.8662,0.90549,0.60827,1.24732,0.69463,1.30193,7.12282e-05,7.12282e-05,7.12282e-05
170,2275.94,0.48343,0.27046,0.86896,0.92147,0.89116,0.90594,0.59924,1.28286,0.69593,1.3389,6.7536e-05,6.7536e-05,6.7536e-05
171,2289.7,0.48693,0.27165,0.87407,0.90624,0.89595,0.92171,0.60089,1.30158,0.7,1.36109,6.39518e-05,6.39518e-05,6.39518e-05
172,2303.81,0.48827,0.26763,0.86531,0.89618,0.90798,0.92253,0.58882,1.32403,0.71524,1.38643,6.04763e-05,6.04763e-05,6.04763e-05
173,2317.53,0.47783,0.27194,0.85122,0.92549,0.86892,0.92225,0.601,1.31584,0.70184,1.37203,5.71106e-05,5.71106e-05,5.71106e-05
174,2331.22,0.49736,0.27374,0.86818,0.90776,0.8798,0.92437,0.6012,1.27536,0.68483,1.33506,5.38554e-05,5.38554e-05,5.38554e-05
175,2344.92,0.48794,0.27278,0.87084,0.88139,0.89963,0.91485,0.59477,1.29956,0.70007,1.35244,5.07115e-05,5.07115e-05,5.07115e-05
